Reactor_Cost,XTOL,Diameter(ft),Length(ft),installation_cost,total_capital_investment,annual_capital_investment,catalyst_cost,annual_catalyst_cost,annual_reactor_cost,Reactor_Heating_Cost,XTOL,installation_cost,total_capital_investment,annual_capital_investment,annual_reactor_heating_cost,Water_Cost,XTOL,volume_flowrate,annual_water_cost,Furnace_Cost,XTOL,annual_operating_cost,installation_cost,total_capital_investment,annual_capital_investment,annual_furnace_cost,Pump_Cost,XTOL,annual_operating_cost,installation_cost,total_capital_investment,annual_capital_investment,annual_pump_cost,Economic Potential 2,XTOL,TOLCOST,BENZCOST,METHCOST,PXYLCOST,MXYLCOST,OXYLCOST,ETHCOST,economic_potential_2,Economic Potential 3,XTOL,selectivity,economic_potential_2,annual_reactor_cost,annual_reactor_heating_cost,annual_furnace_cost,annual_pump_cost,annual_water_cost,economic_potential_3
,0.268319,2.330139952,23.301412644000003,91051.82162992797,190844.61813632905,63614.87271210968,2229.6881403274806,189291.23274655174,252906.10545866142,,0.268319,275568.6670148979,575938.5140611366,191979.50468704553,191979.50468704553,,0.268319,1318304.4642048723,10704.63224934356,,0.268319,4955086.750962886,8008552.793105938,16737875.337591408,5579291.779197136,10534378.530160021,,0.268319,6552.815014747454,16117.585024475953,33685.75270115474,11228.584233718248,17781.399248465703,,0.268319,-13824.468886720002,1970.7496371559998,-4029.6120642719998,17680.97517696,2512.3883988,2404.71461028,411.92493580700545,58082375.23528968,,0.268319,0.5762124200005233,58082375.23528968,252906.10545866142,191979.50468704553,10534378.530160021,17781.399248465703,10704.63224934356,47074625.063486144
,0.277029,2.438924788,24.389257723,99152.94573668826,207824.5742640986,69274.85808803287,2556.779401550556,217059.91794413576,286334.77603216865,,0.277029,286264.55109678186,598292.911792274,199430.97059742466,199430.97059742466,,0.277029,1397842.9923332823,11350.48509774625,,0.277029,5110537.469216691,8221613.566574287,17183172.35414026,5727724.118046753,10838261.587263444,,0.277029,6762.3119557934115,16451.48225212003,34383.59790693086,11461.199302310286,18223.511258103696,,0.277029,-14721.165047040002,2207.7235981679996,-4441.343481215999,17680.97517696,2919.060818799999,2793.9582122799998,478.60179037737254,56380160.20688435,,0.277029,0.5411140689223793,56380160.20688435,286334.77603216865,199430.97059742466,10838261.587263444,18223.511258103696,11350.48509774625,45026558.87663546
,0.284946,2.552788612,25.527892682,107974.8704218142,226315.32840412256,75438.44280137419,2931.8553094875533,248902.29971170376,324340.7425130779,,0.284946,297816.7612840209,622437.0310836036,207479.0103612012,207479.0103612012,,0.284946,1485564.6974105113,12062.785342973351,,0.284946,5306258.4450516375,8488493.273733765,17740950.94210357,5913650.3140345225,11219908.75908616,,0.284946,7025.162667851826,16864.618421498235,35247.052500931306,11749.017500310434,18774.18016816226,,0.284946,-15722.23850504,2476.5893722759997,-4897.449119088,17680.97517696,3370.6028243999995,3226.14841764,552.6353903163663,54501197.99333456,,0.284946,0.5066601482655697,54501197.99333456,324340.7425130779,207479.0103612012,11219908.75908616,18774.18016816226,12062.785342973351,42718632.51586299
,0.292393,2.671967656,26.719683122000003,117581.66783213773,246451.17577616067,82150.39192538688,3361.9523778793587,285415.7487470497,367566.14067243657,,0.292393,310248.92068470194,648420.244231027,216140.0814103423,216140.0814103423,,0.292393,1582036.1593830292,12846.133614190196,,0.292393,5537970.937181221,8802550.825136466,18397331.224535212,6132443.741511737,11670414.67869296,,0.292393,7335.777526535461,17344.93907359817,36250.92266382017,12083.640887940057,19419.41841447552,,0.292393,-16837.870730720002,2781.5279300169996,-5401.495093968,17680.97517696,3870.8652634399996,3704.9710378640007,634.6572082788208,52434090.95375534,,0.292393,0.47309024785079523,52434090.95375534,367566.14067243657,216140.0814103423,11670414.67869296,19419.41841447552,12846.133614190196,40147704.50095094
,0.299457,2.7967112760000004,27.967116041,128043.24597014236,268378.6435534184,89459.54785113946,3855.145837727041,327285.81851536856,416745.366366508,,0.299457,323614.6338449943,676354.584736038,225451.52824534598,225451.52824534598,,0.299457,1688098.361947907,13707.358699017002,,0.299457,5806633.409015386,9164234.99567974,19153251.140970655,6384417.046990218,12191050.456005603,,0.299457,7695.45967742824,17891.083400256648,37392.364306536394,12464.12143551213,20159.58111294037,,0.299457,-18081.30703336,3127.5397095599997,-5958.460332144,17680.97517696,4425.08936128,4235.442674368001,725.5267585937945,50161671.46935104,,0.299457,0.44055624446467995,50161671.46935104,416745.366366508,225451.52824534598,12191050.456005603,20159.58111294037,13707.358699017002,37294557.178921625
,0.306271,2.927278671,29.272783429,139435.60832787448,292257.0350552249,97419.01168507496,4420.689549571017,375298.12321878946,472717.1349038644,,0.306271,337949.1555825338,706313.7351674956,235437.9117224985,235437.9117224985,,0.306271,1804498.5540514358,14652.528258897657,,0.306271,6112335.68347568,9572747.14426177,20007041.531507097,6669013.843835698,12781349.527311377,,0.306271,8104.361176297197,18499.706189149012,38664.385935321436,12888.128645107145,20992.489821404342,,0.306271,-19466.156122400003,3519.326276781,-6573.073559543999,17680.97517696,5038.39224224,4822.461146144001,826.0821083903182,47661259.238856256,,0.306271,0.4092144710547234,47661259.238856256,472717.1349038644,235437.9117224985,12781349.527311377,20992.489821404342,14652.528258897657,34136109.64683822
,0.312919,3.063942164,30.639408516,151841.6092568106,318260.013002275,106086.67100075833,5069.199273323806,430353.8966415523,536440.5676423106,,0.312919,353336.7248459566,738473.7549280493,246157.91830934974,246157.91830934974,,0.312919,1932441.7215044121,15691.426778615823,,0.312919,6457127.836653932,10029838.654111916,20962362.787093904,6987454.262364634,13444582.099018566,,0.312919,8565.245065592755,19171.159162130156,40067.722648852025,13355.907549617341,21921.152615210096,,0.312919,-21009.94265728,3964.201898946,-7252.229348424001,17680.97517696,5717.92346384,5472.869601104,937.4962467125431,44917049.21214715,,0.312919,0.3791457785750613,44917049.21214715,536440.5676423106,246157.91830934974,13444582.099018566,21921.152615210096,15691.426778615823,30652256.04778309
,0.319533,3.206983921,32.069835929,165351.29826945398,346576.3211727756,115525.44039092519,5812.837249652229,493485.6623402673,609011.1027311925,,0.319533,369769.72645291686,772818.7282865961,257606.2427621987,257606.2427621987,,0.319533,2072428.682700404,16828.120903527277,,0.319533,6840587.172448735,10533915.840933686,22015884.107551403,7338628.035850467,14179215.208299201,,0.319533,9077.551328425081,19900.784825696643,41592.64028570598,13864.213428568659,22941.76475699374,,0.319533,-22727.1713168,4467.028275242,-7999.988371488,17680.97517696,6468.45237024,6191.2329829440005,1060.5513356657318,41899805.69002441,,0.319533,0.3504983022621319,41899805.69002441,609011.1027311925,257606.2427621987,14179215.208299201,22941.76475699374,16828.120903527277,26814203.250571303
,0.326109,3.3567057940000002,33.567057940000005,180063.15639412066,377412.3758020769,125804.12526735896,6665.5761622472955,565879.6429407861,691683.768208145,,0.326109,387345.96612165164,809553.0691942519,269851.0230647506,269851.0230647506,,0.326109,2225905.9113702234,18074.35600032621,,0.326109,7267205.893677801,11089777.044786792,23177634.023604393,7725878.007868131,14993083.90154593,,0.326109,9647.281725516337,20693.109104628806,43248.5980286742,14416.1993428914,24063.48106840774,,0.326109,-24639.77142096,5038.124603689999,-8824.780737215999,17680.97517696,7298.793850879999,6985.988400128001,1196.6917577730542,38598576.29472867,,0.326109,0.3232916510206261,38598576.29472867,691683.768208145,269851.0230647506,14993083.90154593,24063.48106840774,18074.35600032621,22601819.76484111
,0.332724,3.513416197,35.13416197,196083.8142058144,410991.674575387,136997.22485846232,7643.401227830527,648892.9167376958,785890.1415961582,,0.332724,406101.85806354857,848752.8833528165,282917.62778427213,282917.62778427213,,0.332724,2393869.9614517656,19438.224086988335,,0.332724,7738737.132421718,11698496.52949588,24449857.74664639,8149952.582215463,15888689.71463718,,0.332724,10276.767270402672,21547.070845149305,45033.37806636204,15011.12602212068,25287.893292523353,,0.332724,-26768.500637520003,5684.671599078,-9733.342740263999,17680.97517696,8216.417748,7864.285558800001,1347.142849510007,34976943.86969664,,0.332724,0.29758232407957413,34976943.86969664,785890.1415961582,282917.62778427213,15888689.71463718,25287.893292523353,19438.224086988335,17974720.26829951
,0.33943,3.6774399490000005,36.77439949,213529.56558258343,447557.9694610949,149185.98982036495,8764.651035976784,744082.3535751123,893268.3433954773,,0.33943,426089.06749054854,890526.1510552464,296842.05035174877,296842.05035174877,,0.33943,2577514.951974698,20929.421410034545,,0.33943,8257915.732456603,12362330.49036583,25837270.72486458,8612423.57495486,16870339.307411462,,0.33943,10969.655936580573,22463.197395166328,46948.08255589762,15649.360851965874,26619.016788546447,,0.33943,-29137.061428640005,6416.947615707999,-10733.560866431999,17680.989083919998,9229.996271999998,8834.4250032,1513.326631390253,31011257.835841894,,0.33943,0.2733919634159239,31011257.835841894,893268.3433954773,296842.05035174877,16870339.307411462,26619.016788546447,20929.421410034545,12903259.696484622
,0.346193,3.8491248360000005,38.49124836,232527.89738570375,487378.4729204351,162459.49097347836,10050.411645860257,853238.0720183448,1015697.5629918231,,0.346193,447374.068478602,935011.803120278,311670.60104009265,311670.60104009265,,0.346193,2778248.341420164,22559.376532331728,,0.346193,8830057.097257653,13086679.154233549,27351159.432348114,9117053.144116037,17947110.241373688,,0.346193,11733.003255688536,23446.07752269854,49002.302022439944,16334.100674146648,28067.103929835182,,0.346193,-31773.247641040005,7246.9594103399995,-11834.883314424,17679.7791784,10349.974717599998,9906.40437256,1696.955830051047,26666331.81091941,,0.346193,0.2506918211026771,26666331.81091941,1015697.5629918231,311670.60104009265,17947110.241373688,28067.103929835182,22559.376532331728,7341226.925051641
,0.35314,4.0288252060000005,40.288252060000005,253216.5888853856,530741.9703037683,176913.9901012561,11524.793094353745,978406.9137394065,1155320.9038406627,,0.35314,469984.499643525,982267.6042549672,327422.5347516557,327422.5347516557,,0.35314,2997186.1832643556,24337.151808106566,,0.35314,9456250.726026256,13871441.7277398,28991313.21097618,9663771.070325393,19120021.79635165,,0.35314,12568.279846911399,24492.699267080898,51189.74146819907,17063.247156066354,29631.527002977753,,0.35314,-34704.301755680004,8186.59834002,-13044.989835144,17680.97517696,11584.9286896,11088.431745760001,1899.4356944989224,21932286.15652159,,0.35314,0.2295344235828487,21932286.15652159,1155320.9038406627,327422.5347516557,19120021.79635165,29631.527002977753,24337.151808106566,1275552.242766537
,0.360203,4.216915093,42.16915093,275746.0165556387,577963.6507006187,192654.55023353957,13215.464440218037,1121937.8665393437,1314592.4167728834,,0.360203,493983.2426840631,1032424.9772096918,344141.65906989726,344141.65906989726,,0.360203,3235851.7548427857,26275.11624932342,,0.360203,10143177.330645155,14723409.301791443,30771925.440744113,10257308.480248038,20400485.810893193,,0.360203,13484.354376760368,25609.057313649722,53522.929785527915,17840.97659517597,31325.33097193634,,0.360203,-37963.318249200005,9249.805727500001,-14374.947076632001,17680.989083919998,12947.4317784,12392.541845040001,2122.8281036559397,16750949.38337407,,0.360203,0.2098298635878212,16750949.38337407,1314592.4167728834,344141.65906989726,20400485.810893193,31325.33097193634,26275.11624932342,-5365870.950583164
,0.367444,4.413784936,44.137849360000004,300279.79944869503,629386.4596444648,209795.4865481549,15154.142433434172,1286523.550338422,1496319.0368865768,,0.367444,519418.2740362596,1085584.1927357826,361861.39757859416,361861.39757859416,,0.367444,3495705.060781478,28385.1250935456,,0.367444,10894040.947563032,15644839.883064833,32697715.355605498,10899238.451868499,21793279.39943153,,0.367444,14485.460979084362,26794.87972708232,56001.298629602046,18667.099543200682,33152.56052228504,,0.367444,-41586.292534,10454.11843943,-15835.385206008003,17680.989083919998,14449.5671152,13830.29995312,2369.1151447284196,11103657.770581879,,0.367444,0.191549619254722,11103657.770581879,1496319.0368865768,361861.39757859416,21793279.39943153,33152.56052228504,28385.1250935456,-12609339.748930652
,0.374835,4.619844860000001,46.198448600000006,326996.28805429285,685384.2197617978,228461.40658726593,17377.20943995337,1475252.6764127081,1703714.082999974,,0.374835,546391.6928716935,1141958.6381018395,380652.8793672798,380652.8793672798,,0.374835,3778859.3394689127,30684.337836487568,,0.374835,11716258.836619338,16642979.71476318,34783827.60385504,11594609.201285014,23310868.037904352,,0.374835,15581.468042744,28056.111280184825,58637.27257558628,19545.757525195426,35127.22556793943,,0.374835,-45616.48802568,11816.91126421,-17440.480539144,17680.97517696,16107.021963199999,15416.72102192,2640.866415899735,4935047.310530694,,0.374835,0.17462614684872008,4935047.310530694,1703714.082999974,380652.8793672798,23310868.037904352,35127.22556793943,30684.337836487568,-20525999.25314534
,0.382409,4.835527957,48.35527957000001,356090.22952410404,746365.1210825221,248788.37369417402,19926.432672793842,1691671.107117394,1940459.480811568,,0.382409,574880.7316061106,1201500.7290567711,400500.2430189237,400500.2430189237,,0.382409,4086205.5617953576,33179.9891617783,,0.382409,12613780.03614148,17720620.919550095,37036097.72185969,12345365.907286564,24959145.943428043,,0.382409,16777.60708611672,29392.712507293047,61430.76914024246,20476.923046747484,37254.53013286421,,0.382409,-50092.57551368001,13360.051799329998,-19199.600918424,17680.96127,17931.5004624,17163.00758544,2940.00301707755,-1765716.2275301553,,0.382409,0.15902208077642527,-1765716.2275301553,1940459.480811568,400500.2430189237,24959145.943428043,37254.53013286421,33179.9891617783,-29136256.41408333
,0.390176,5.0612771620000006,50.61277162,387772.2799624037,812770.6988011982,270923.56626706605,22849.58001475913,1939834.1366696553,2210757.7029367215,,0.390176,604959.0617130549,1264364.4389802846,421454.8129934282,421454.8129934282,,0.390176,4419716.539293783,35888.09829906552,,0.390176,13592913.285442969,18883223.538064666,39465937.19455515,13155312.398185048,26748225.683628015,,0.390176,18082.24242021714,30807.785859865264,64388.2724471184,21462.7574823728,39544.99990258994,,0.390176,-55065.04882368001,15105.16776647,-21127.657311288,17680.97517696,19940.1612536,19085.58291416,3269.337987412371,-9058570.446379934,,0.390176,0.14466221838067286,-9058570.446379934,2210757.7029367215,421454.8129934282,26748225.683628015,39544.99990258994,35888.09829906552,-38514441.74413975
,0.3981,5.29756822,52.9756822,422273.536677011,885085.3328750151,295028.4442916717,26201.583257012713,2224405.2452568086,2519433.6895484803,,0.3981,636725.4326370736,1330756.1542114837,443585.3847371612,443585.3847371612,,0.3981,4781768.942159738,38827.963810337074,,0.3981,14663095.274987744,20139666.650369216,42091903.29927166,14030634.433090553,28693729.708078295,,0.3981,19507.889124661197,32308.17505245281,67524.08585962637,22508.028619875455,42015.91774453665,,0.3981,-60592.127167520004,17080.18200654,-23242.184927784,17680.97517696,22153.0239896,21203.60867576,3632.153968254359,-16987601.4672457,,0.3981,0.13146645240904725,-16987601.4672457,2519433.6895484803,443585.3847371612,28693729.708078295,42015.91774453665,38827.963810337074,-48725194.13116451
,0.406204,5.54489,55.448899999999995,459844.3530727482,963833.7640404804,321277.92134682677,30045.308353548757,2550721.490431483,2871999.41177831,,0.406204,670212.9048139055,1400744.9710610623,466914.99035368743,466914.99035368743,,0.406204,5174109.868365881,42013.77213113095,,0.406204,15830920.063957768,21495161.006517164,44924886.50362087,14974962.167873623,30805882.23183139,,0.406204,21063.275908654836,33895.89622476147,70842.42310975147,23614.141036583824,44677.416945238656,,0.406204,-66732.800416,19313.497112070003,-25558.763884343996,17680.97517696,24588.8673128,23535.058713680002,4031.528785275686,-25604343.17640013,,0.406204,0.11936902113188905,-25604343.17640013,2871999.41177831,466914.99035368743,30805882.23183139,44677.416945238656,42013.77213113095,-59835830.99943989
